sampledate,site,temp,ph,dic,bicarbonate,carbonate,alkalinity_calculated
2022-06-01,1,20.8,8.63,49.68,246.52686306105772,4.42390695373784,4190.840886438495
2022-06-06,1,21.1,8.6,45.85,227.6837647810802,3.838870814647265,3862.388412504738
2022-06-09,1,20.3,8.47,45.85,228.23864190011133,2.801575543619419,3836.004466210772
2022-06-13,1,21.2,8.66,45.85,227.282039938696,4.409695066004045,3875.2972720749576
2022-06-16,1,23.7,8.67,41.31,204.51935061401232,4.286908848360217,3498.9941100046262
2022-06-20,1,24.1,8.6,41.31,204.95812613055907,3.687363777076738,3485.679709139622
2022-06-23,1,25.9,8.68,40.39,199.71954450512618,4.481468475035867,3427.7197720218983
2022-06-28,1,24.9,8.66,39.47,195.39535855750594,4.103374355877933,3343.653206850319
2022-07-01,1,25.3,8.79,35,172.19345491721216,4.917890730942343,2992.342374589172
2022-07-05,1,26.3,8.89,35.99,175.79127384776345,6.4483017048367515,3104.5998511849107
2022-07-07,1,26,8.89,35,170.99033844646124,6.235002978768358,3018.6147816237476
2022-07-11,1,25.2,8.74,35.495,175.09723763882016,4.447961055612379,3023.5320890203006
2022-07-13,1,25.5,8.8,35.99,176.94320916025183,5.192191402566918,3079.576420038157
2022-07-18,1,26.3,8.88,34.975,170.96221056819704,6.128414911768161,3014.5983287191107
2022-07-21,1,26.2,8.76,33.96,167.27588158379524,4.539651844387598,2899.1377506953754
2022-07-25,1,26,8.77,34.49,169.81199617004,4.697139523113068,2946.001235825096
2022-07-28,1,25.6,8.79,35.02,172.26469415018744,4.94979349978889,2994.7206483884925
2022-08-02,1,25.5,8.81,35.02,172.0719208028564,5.166861267802773,2999.0520153167568
2022-08-04,1,25.7,8.81,35.02,172.05287419146615,5.187099372637007,2999.5183398411245
2022-08-12,1,25.4,8.81,35.02,172.08144663814022,5.156733096927744,2998.819101850124
2022-08-16,1,23.6,8.73,35.02,172.96021558523756,4.153749196224951,2977.9353274146642
2022-08-18,1,24.2,8.84,35.02,171.88114260911405,5.384976274121369,3002.9911929518134
2022-09-09,1,22.6,8.85,35.59,174.7378000067872,5.41502482366935,3050.1754500855654
2022-09-23,1,19.7,8.45,35.59,177.21032793220962,2.048859018394019,2974.4361765355306
2022-10-19,1,7.4,8.28,39.86,198.15666331120286,1.1172056444187004,3285.2302942823726
2022-10-28,1,11.5,8.5,39.79,198.26314889345866,2.088518773890432,3319.9666816582653
2023-01-23,1,1.7,8.45,33.36,166.19361562325113,1.1555632125029451,2762.6126035657426
2023-02-10,1,1.5,8.61,55.82,278.30264514005466,2.778209470117422,4654.190725028682
2023-02-17,1,1.4,9.15,36.27,177.5862260851037,6.126139344302138,3116.462435465541
2023-03-23,1,4.6,8.16,51.29,253.7421522658903,0.9950328726987566,4191.955599216642
2023-03-28,1,6.4,8.01,47.62,233.98694263712858,0.6872248935805632,3857.8870000187385
2023-04-07,1,7.4,8.28,48.01,238.6728902551643,1.3456358000135928,3956.857765439973
2023-04-27,1,10.4,8.37,48.01,239.13014861549289,1.8106901986149746,3980.122632238351
2023-05-04,1,11.8,8.5,46.68,232.58675646731183,2.470468073722158,3895.24898376933
2023-05-17,1,17.3,7.85,44.71,218.75369670775018,0.6000407767965515,3605.49383683745
2022-06-01,2,21.1,8.82,44.15,217.34210260474,6.08156422885673,3769.607734881262
2022-06-06,2,21.1,8.9,41.565,203.60035559578532,6.849359567956857,3570.983961166577
2022-06-09,2,19.3,8.7,40.2075,199.1814274918986,4.057254792946374,3402.812997119663
2022-06-13,2,21.4,9.09,38.98,187.66966235233613,9.844070139741376,3413.1847223112577
2022-06-16,2,22.9,8.79,38.85,191.37582708150032,5.198861722194943,3315.0040278967426
2022-06-20,2,23.2,9.05,38.72,186.8812404818685,9.297674909879717,3382.528912478189
2022-06-23,2,25.6,8.75,39.635,195.38643224583353,5.120179734408478,3378.762857243685
2022-06-28,2,25.1,8.75,40.55,199.94425393957044,5.186899934813663,3455.461264184661
2022-07-01,2,24.6,8.45,37.89,188.5251338120647,2.426172290064152,3173.3335331100147
2022-07-05,2,26.2,8.36,37.89,188.60845230875827,2.0377475098658184,3161.5261449548034
2022-07-07,2,27.1,9.01,35.23,170.12646289708806,8.356276371349804,3078.8188309154425
2022-07-11,2,23.7,8.37,36.86,183.52061502554398,1.927945265971931,3074.0896273007024
2022-07-13,2,25,8.52,38.49,191.2877788388483,2.9160921163466247,3235.5239316098296
2022-07-18,2,27.3,8.77,40.855,201.02003355397224,5.7037042305320815,3491.672390523902
2022-07-21,2,25.9,8.53,43.22,214.70596543025567,3.4107028958441767,3636.126863507003
2022-07-25,2,25.3,8.77,39.86,196.31973224371163,5.354589576517709,3402.011132564399
2022-07-28,2,25.3,8.73,36.5,180.13310572856733,4.480802191496772,3107.072325898737
2022-08-02,2,25.8,8.87,36.5,178.6049416948451,6.194778247595748,3141.5652709843853
2022-08-04,2,25.1,8.74,36.5,180.06318492870855,4.564822233027074,3108.7700668401535
2022-08-12,2,24.4,8.85,36.5,179.00769465458106,5.76275395937575,3132.6358896982297
2022-08-16,2,23.1,8.86,36.5,179.0351431147263,5.738785808233486,3131.775699120287
2022-08-18,2,24.2,8.83,36.5,179.2574593126307,5.488236259960443,3127.1720295102023
2022-09-09,2,22.6,8.51,35.66,177.34691568971738,2.5121017625291735,2992.953279018392
2022-09-23,2,19.2,8.59,35.66,177.2172299287034,2.7955913501174536,3000.050323524658
2022-10-19,2,6.4,8.42,41.09,204.7199071284085,1.5454940441425675,3407.1841689240905
2022-10-28,2,10.8,8.51,40.13,199.96381747264658,2.113803137096983,3348.6412908094685
2023-01-23,2,0.6,8.21,43.92,217.31839981371814,0.8375531441222805,3589.703336484531
2023-02-10,2,0.6,8.33,54.04,268.5093990928338,1.3641915886108225,4446.28098357812
2023-02-17,2,0.7,8.17,51.48,254.27998366230517,0.8968516995705013,4197.421288567472
2023-03-23,2,4.8,8.4,48.92,243.63790112476093,1.6709010977460939,4049.0860064916124
2023-03-28,2,7.7,8.57,47.69,237.64529659784614,2.6361336704498193,3983.4726104843835
2023-04-07,2,7.8,8.41,46.62,232.26749022758003,1.7878289926761717,3866.795780933749
2023-04-27,2,10.7,8.38,46.62,232.23245147307176,1.8147383205498577,3867.2485639000697
2023-05-04,2,12.8,8.34,45.3,225.58667304049254,1.7034835982890844,3754.69554677784
2023-05-17,2,16.6,8.07,43.57,215.69343707793664,0.9651039375614474,3567.732081567344
2022-06-01,3,20.8,8.71,50.96,252.20070094763287,5.441116488468232,4318.359959232293
2022-06-06,3,20.1,8.3,49.16,244.75166423692215,2.0218611375074453,4079.9536936091663
2022-06-09,3,18.8,8.43,49.16,244.83252445559575,2.646980918392135,4102.409136239185
2022-06-13,3,21.7,8.47,47.36,235.702553581742,2.9856140395896005,3964.706930294973
2022-06-16,3,23.4,8.05,45.85,227.14760199888406,1.134916626891852,3761.5075997517806
2022-06-20,3,23.4,8.42,44.34,220.71833778482042,2.5852004278845957,3705.8296641331085
2022-06-23,3,25.9,8.66,43.495,215.24241714378311,4.612407177535797,3686.2520836397184
2022-06-28,3,25.4,8.63,42.65,211.32385139091883,4.183975400504518,3607.2491999366976
2022-07-01,3,25.4,8.67,39.505,195.45845368524797,4.243215257176239,3349.6377392044806
2022-07-05,3,26.5,8.88,39.505,193.0799742771014,6.948585686753337,3404.546571741997
2022-07-07,3,27.3,8.89,36.36,177.47880949586016,6.638411388117248,3139.268744749352
2022-07-11,3,24.2,8.21,42.315,210.46775286340167,1.5457566596869972,3502.3793806790095
2022-07-13,3,24.9,8.35,48.27,240.31140217561784,2.471731397216742,4023.0502993263217
2022-07-18,3,27.6,8.67,48.27,238.62678871828442,5.4092356978758795,4096.857881077485
2022-07-21,3,26,8.05,47.915,237.46911122241247,1.2516192101622992,3934.7762882267143
2022-07-25,3,25.6,8.59,47.56,235.92968421334785,4.277336226756583,4013.2922547195067
2022-07-28,3,25.4,8.4,47.56,236.7191279389574,2.759776788038268,3974.150208531477
2022-08-02,3,25.3,8.59,47.56,235.95038174617548,4.251898802332018,4012.6906243045737
2022-08-04,3,24.6,8.38,47.56,236.76615842575126,2.5934149390440044,3969.1097141153314
2022-08-12,3,24.4,8.71,47.56,235.0201660803118,5.481046758972515,4039.3402205763896
2022-08-16,3,23.5,8.77,47.56,234.45409653449153,6.160753954977021,4053.068865119998
2022-08-18,3,24.9,8.99,47.56,230.57336700459336,10.352280675699856,4133.672241540068
2022-09-09,3,22.8,8.15,39.65,196.975959015389,1.2232093263181343,3270.1758338724103
2022-09-23,3,18.6,8.18,39.65,197.02220582220906,1.1921746097059747,3269.617743197274
2022-10-19,3,7.5,8.44,39.18,195.24453911676426,1.5959179131433978,3253.6627366279677
2022-10-28,3,10.4,8.41,42.55,212.0055788909449,1.7601800989618488,3533.967834040024
2023-01-23,3,1.6,8.5,45.33,225.94070379959268,1.7567476810838816,3761.877753125283
2023-02-10,3,1.6,8.21,50.97,252.3278951215764,1.0061904165976843,4169.109285845109
2023-02-17,3,1.4,8.22,39,193.12951977091817,0.7827557264781698,3191.470317053396
2023-03-23,3,5.1,8.56,49.49,246.6988413079165,2.468848074582832,4126.069230202638
2023-03-28,3,7.5,8.24,48.5,240.8649305669869,1.2422391892178464,3989.301102879439
2023-04-07,3,7.1,8.45,48.56,242.00117487803757,1.9998825517940044,4033.4049164217763
