Date,Site,co2 trial 1,co2 trial 2,co2 trial 3,co2_mean,sd_co2
2022-06-20,Site_1,3.23E-04,5.18E-04,5.63E-04,4.68E-04,1.28E-04
2022-06-20,Site_2,-5.86E-04,-5.89E-04,-5.85E-04,-5.87E-04,2.08E-06
2022-06-20,Site_3,0.00104433,5.26E-04,6.71E-04,7.47E-04,2.67E-04
2022-06-20,Site_4,-4.16E-04,-3.66E-04,-1.78E-04,-3.20E-04,1.25E-04
2022-06-20,Site_5,1.51E-04,3.90E-04,2.23E-04,2.54E-04,1.23E-04
2022-06-20,Site_6,-0.001063656,-7.30E-04,-6.02E-04,-7.98E-04,2.38E-04
2022-06-20,Site_7,-3.86E-04,-7.39E-04,-8.70E-04,-6.65E-04,2.50E-04
2022-06-20,Site_8,-6.43E-04,-9.10E-04,-6.85E-04,-7.46E-04,1.44E-04
2022-06-28,Site_1,-0.001511822,-8.55E-04,-0.001033286,-0.001133483,3.40E-04
2022-06-28,Site_2,-0.001745154,-0.001745154,-0.001745154,-0.001745154,0
2022-06-28,Site_3,-0.001110468,-8.03E-04,-0.001478994,-0.001130718,3.38E-04
2022-06-28,Site_4,-0.001560735,-0.001516983,-7.19E-04,-0.001265547,4.74E-04
2022-06-28,Site_5,-0.00186975,-0.001225631,-0.001467045,-0.001520809,3.25E-04
2022-06-28,Site_6,-0.002126303,-0.002445897,-0.002347137,-0.002306445,1.64E-04
2022-06-28,Site_7,-0.003209039,-0.002182225,-0.002220808,-0.002537357,5.82E-04
2022-06-28,Site_8,-0.002396288,-0.002024717,-0.001851765,-0.002090924,2.78E-04
2022-07-07,Site_1,-5.69E-04,-0.001224685,-3.91E-04,-7.28E-04,4.39E-04
2022-07-07,Site_2,-0.001304395,-0.001157486,-9.86E-04,-0.001149163,1.59E-04
2022-07-07,Site_3,-7.21E-04,-9.60E-04,-0.001042274,-9.08E-04,1.67E-04
2022-07-07,Site_4,-3.53E-04,-7.51E-04,-7.35E-04,-6.13E-04,2.25E-04
2022-07-07,Site_5,-7.65E-04,-8.67E-04,-5.55E-04,-7.29E-04,1.59E-04
2022-07-07,Site_6,-0.002296462,-0.0027818,-0.002547494,-0.002541918,2.43E-04
2022-07-07,Site_7,-0.001694617,-0.00180441,-0.001928802,-0.001809276,1.17E-04
2022-07-07,Site_8,-9.63E-04,-0.001940528,-0.001668772,-0.001523939,5.05E-04
2022-07-13,Site_1,-0.001085687,-6.01E-04,-9.12E-04,-8.66E-04,2.46E-04
2022-07-13,Site_2,-6.13E-04,-3.63E-04,-0.001105234,-6.94E-04,3.78E-04
2022-07-13,Site_3,6.16E-04,3.34E-04,6.63E-04,5.38E-04,1.78E-04
2022-07-13,Site_4,-3.25E-04,-7.26E-04,-4.50E-04,-5.00E-04,2.05E-04
2022-07-13,Site_5,-0.00126604,-8.57E-04,-0.001337289,-0.001153329,2.59E-04
2022-07-13,Site_6,-0.002493128,-0.003083786,-0.00257463,-0.002717181,3.20E-04
2022-07-13,Site_7,-0.002347214,-0.002006198,-0.001875799,-0.002076404,2.43E-04
2022-07-13,Site_8,-9.54E-04,-0.001268771,-0.001662063,-0.00129511,3.55E-04
2022-07-21,Site_1,-0.001273854,-0.00130471,-0.001292884,-0.001290483,1.56E-05
2022-07-21,Site_2,-0.002482876,-0.00117385,-0.001456917,-0.001704548,6.89E-04
2022-07-21,Site_3,3.45E-04,8.37E-04,7.39E-04,6.40E-04,2.60E-04
2022-07-21,Site_4,-0.001300642,-0.001922254,-0.001625734,-0.00161621,3.11E-04
