site,sampledate,avsnow,totice,blackice,whiteice,secchi
1,2023-02-17,3,20,17,3,1.25
3,2023-02-17,6,20,17,3,1
2,2023-02-17,4,23,11,12,0.5
4,2023-02-17,6,18,10.5,7.5,0.8
5,2023-02-17,7,20.5,6,14.5,1.25
7,2023-02-17,6.5,27,18.5,8.5,1.4
6,2023-02-17,4.75,23.5,19.5,4,1.25
8,2023-02-17,5,16,6,10,0.8
1,2023-02-10,0.75,24,18.5,5.5,1.75
2,2023-02-10,0.5,27.5,18.5,9,0.6
3,2023-02-10,0.5,23.5,18,5.5,1.25
4,2023-02-10,1,21.5,11.5,10,0.8
5,2023-02-10,0.5,25,21,4,1.9
7,2023-02-10,2,26.5,16.5,10,1.4
6,2023-02-10,0,25.5,18.5,7,1.25
8,2023-02-10,0,22,13,9,0.98
1,2023-01-23,1.5,16.5,14.5,2,1.4
2,2023-01-23,1.5,21,19,2,0.65
3,2023-01-23,1.5,17,15,2,0.75
4,2023-01-23,1.5,14,13,1,0.8
5,2023-01-23,1,16.5,15,1.5,1.4
8,2023-01-23,1,12,11.5,0.5,0.8
6,2023-01-23,1.5,24,22.5,1.5,0.8
7,2023-01-23,1,23.5,20,3.5,1.25
