TotalSpecies,TotalSpecies_VegetatedSites,TotalSpecies_VegetatedSites_NoExotics,Site,latitude,longitude,Depth_ft,"Dominant sediment type (M=muck, S=Sand, R=Rock)",Rake,Filamentous algae
0,0,0,1,43.05089116,-89.43150356,,,,
0,0,0,2,43.05152148,-89.43149774,,,,
0,0,0,3,43.0521518,-89.43149192,,,,
0,0,0,4,43.05278212,-89.4314861,,,,
0,0,0,5,43.05341244,-89.43148027,,,,
0,0,0,6,43.04868291,-89.43109421,,,,
0,0,0,7,43.04994355,-89.43108256,,,,
0,0,0,8,43.05057387,-89.43107674,,,,
0,0,0,9,43.05120419,-89.43107091,,,,
0,0,0,10,43.05183451,-89.43106508,,,,
0,0,0,11,43.05246483,-89.43105926,,,,
0,0,0,12,43.05372546,-89.4310476,,,,
0,0,0,13,43.04899593,-89.43066158,,,,
0,0,0,14,43.04962625,-89.43065575,,,,
0,0,0,15,43.05025657,-89.43064992,,,,
0,0,0,16,43.05088689,-89.43064409,,,,
2,2,2,17,43.05151721,-89.43063826,4.5,M,3,
3,3,2,18,43.05214753,-89.43063243,4,M,2,
0,0,0,19,43.05277785,-89.43062659,,,,
0,0,0,20,43.05403849,-89.43061493,,,,
0,0,0,21,43.04930895,-89.43022894,,,,
2,2,2,22,43.04993927,-89.4302231,3,M,2,1
0,0,0,23,43.05056959,-89.43021727,,,,
2,2,2,24,43.05119991,-89.43021143,5,M,2,1
2,2,2,25,43.05183023,-89.4302056,6,M,2,
2,2,2,26,43.05246055,-89.43019976,5,M,2,
0,0,0,27,43.05309087,-89.43019393,,,,
0,0,0,28,43.05435151,-89.43018225,,,,
0,0,0,29,43.04899165,-89.42980213,,,,
1,1,1,30,43.04962197,-89.42979629,3.5,M,1,
1,1,1,31,43.05025229,-89.42979045,4.5,M,1,
2,2,1,32,43.05088261,-89.42978461,5.5,M,1,1
2,2,2,33,43.05151293,-89.42977877,7,M,3,
2,2,1,34,43.05214325,-89.42977293,7.5,M,3,
2,2,1,35,43.05277357,-89.42976709,5.5,M,2,
0,0,0,36,43.05340389,-89.42976125,,,,
0,0,0,37,43.05466453,-89.42974957,,,,
0,0,0,38,43.04930467,-89.42936948,,,,
4,4,3,39,43.04993499,-89.42936364,5,M,2,
2,2,1,40,43.05056531,-89.4293578,7,M,2,
3,3,2,41,43.05119563,-89.42935195,7,M,3,1
1,1,1,42,43.05182595,-89.42934611,8,M,3,
2,2,1,43,43.05245627,-89.42934026,8.5,M,3,
1,1,1,44,43.05308659,-89.42933442,7.5,M,3,
0,0,0,45,43.0537169,-89.42932858,,,,
0,0,0,46,43.04835705,-89.42894853,,,,
0,0,0,47,43.04898737,-89.42894268,,,,
1,1,1,48,43.04961769,-89.42893683,5,M,2,1
2,2,1,49,43.050248,-89.42893099,7,M,3,
4,4,3,50,43.05087832,-89.42892514,8.5,M,3,
3,3,2,51,43.05150864,-89.42891929,9,M,3,
1,1,1,52,43.05213896,-89.42891344,9.5,M,1,
2,2,1,53,43.05276928,-89.42890759,9,M,2,
3,3,2,54,43.0533996,-89.42890174,7,M,3,
0,0,0,55,43.05402992,-89.42889589,,,,
4,4,3,56,43.04930038,-89.42851003,4.5,M,2,
5,5,4,57,43.0499307,-89.42850418,7,M,2,
3,3,1,58,43.05056102,-89.42849833,9,M,1,
