sampling_point,latitude,longitude,depth_ft
1,43.05089116,-89.43150356,
2,43.05152148,-89.43149774,
3,43.0521518,-89.43149192,
4,43.05278212,-89.4314861,
5,43.05341244,-89.43148027,
6,43.04868291,-89.43109421,
7,43.04994355,-89.43108256,
8,43.05057387,-89.43107674,
9,43.05120419,-89.43107091,3
10,43.05183451,-89.43106508,
11,43.05246483,-89.43105926,
12,43.05372546,-89.4310476,
13,43.04899593,-89.43066158,
14,43.04962625,-89.43065575,
15,43.05025657,-89.43064992,
16,43.05088689,-89.43064409,4
17,43.05151721,-89.43063826,4
18,43.05214753,-89.43063243,
19,43.05277785,-89.43062659,
20,43.05403849,-89.43061493,
21,43.04930895,-89.43022894,
22,43.04993927,-89.4302231,
23,43.05056959,-89.43021727,4
24,43.05119991,-89.43021143,4.5
25,43.05183023,-89.4302056,6
26,43.05246055,-89.43019976,4
27,43.05309087,-89.43019393,
28,43.05435151,-89.43018225,
29,43.04899165,-89.42980213,
30,43.04962197,-89.42979629,
31,43.05025229,-89.42979045,4
32,43.05088261,-89.42978461,6
33,43.05151293,-89.42977877,7
34,43.05214325,-89.42977293,7
35,43.05277357,-89.42976709,5.5
36,43.05340389,-89.42976125,
37,43.05466453,-89.42974957,
38,43.04930467,-89.42936948,2
39,43.04993499,-89.42936364,
40,43.05056531,-89.4293578,6
41,43.05119563,-89.42935195,7
42,43.05182595,-89.42934611,8
43,43.05245627,-89.42934026,8
44,43.05308659,-89.42933442,7
45,43.05371691,-89.42932858,
46,43.04835705,-89.42894853,
47,43.04898737,-89.42894268,
48,43.04961769,-89.42893683,4
49,43.05024801,-89.42893099,7
50,43.05087833,-89.42892514,8
51,43.05150864,-89.42891929,9
52,43.05213896,-89.42891344,9
53,43.05276928,-89.42890759,9
54,43.0533996,-89.42890174,8
55,43.05402992,-89.42889589,
56,43.04930038,-89.42851003,
57,43.0499307,-89.42850418,7
58,43.05056102,-89.42849833,8
59,43.05119134,-89.42849247,9
60,43.05182166,-89.42848662,10
61,43.05245198,-89.42848077,10
62,43.0530823,-89.42847492,10
63,43.05371262,-89.42846906,9
64,43.05434294,-89.42846321,
65,43.04898308,-89.42808323,
66,43.04961339,-89.42807738,6
67,43.05024371,-89.42807152,9
68,43.05087403,-89.42806566,10
69,43.05150435,-89.42805981,10
70,43.05213467,-89.42805395,10.5
71,43.05276499,-89.42804809,10
72,43.05339531,-89.42804223,10
73,43.05402563,-89.42803638,5.5
74,43.05465595,-89.42803052,
75,43.04929609,-89.42765058,
76,43.04992641,-89.42764472,8
77,43.05055673,-89.42763886,9
78,43.05118704,-89.427633,10
79,43.05181736,-89.42762713,11
80,43.05244768,-89.42762127,11
81,43.053078,-89.42761541,11
82,43.05370832,-89.42760955,9.5
83,43.05433864,-89.42760369,4
84,43.04897878,-89.42722378,
85,43.0496091,-89.42721792,5.5
86,43.05023942,-89.42721205,9
87,43.05086973,-89.42720619,11
88,43.05150005,-89.42720032,11
89,43.05213037,-89.42719446,11
90,43.05276069,-89.42718859,12
91,43.05339101,-89.42718272,11
92,43.05402133,-89.42717686,9
93,43.05465165,-89.42717099,2.5
94,43.04929179,-89.42679113,
95,43.0499221,-89.42678526,6.5
96,43.05055242,-89.42677939,10
97,43.05118274,-89.42677352,11
98,43.05181306,-89.42676765,11
99,43.05244338,-89.42676178,12
100,43.0530737,-89.42675591,11.5
101,43.05370402,-89.42675003,10.5
102,43.05433434,-89.42674416,8
103,43.04960479,-89.42635846,
104,43.05023511,-89.42635259,8
105,43.05086543,-89.42634671,11
106,43.05149575,-89.42634084,12
107,43.05212607,-89.42633497,12
108,43.05275639,-89.42632909,11.5
