latitude,longitude,comments,rake,rake2
43.05089116,-89.43150356,Non-Navigable (Plants),3,8
43.05152148,-89.43149774,Non-Navigable (Plants),3,8
43.0521518,-89.43149192,No Information,10,10
43.05278212,-89.4314861,No Information,10,10
43.05341244,-89.43148027,No Information,10,10
43.04868291,-89.43109421,No Information,10,10
43.04994355,-89.43108256,Non-Navigable (Plants),3,8
43.05057387,-89.43107674,Non-Navigable (Plants),3,8
43.05120419,-89.43107091,Non-Navigable (Plants),3,8
43.05183451,-89.43106508,Non-Navigable (Plants),3,8
43.05246483,-89.43105926,Non-Navigable (Plants),3,8
43.05372546,-89.4310476,No Information,10,10
43.04899593,-89.43066158,No Information,10,10
43.04962625,-89.43065575,No Information,10,10
43.05025657,-89.43064992,No Information,10,10
43.05088689,-89.43064409,No Information,10,10
43.05151721,-89.43063826,,3,3
43.05214753,-89.43063243,,2,2
43.05277785,-89.43062659,Non-Navigable (Plants),3,8
43.05403849,-89.43061493,No Information,10,10
43.04930895,-89.43022894,Non-Navigable (Plants),3,8
43.04993927,-89.4302231,,2,2
43.05056959,-89.43021727,Non-Navigable (Plants),3,8
43.05119991,-89.43021143,,2,2
43.05183023,-89.4302056,,2,2
43.05246055,-89.43019976,,2,2
43.05309087,-89.43019393,Non-Navigable (Plants),3,8
43.05435151,-89.43018225,No Information,10,10
43.04899165,-89.42980213,Non-Navigable (Plants),3,8
43.04962197,-89.42979629,,1,1
43.05025229,-89.42979045,,1,1
43.05088261,-89.42978461,,1,1
43.05151293,-89.42977877,,3,3
43.05214325,-89.42977293,,3,3
43.05277357,-89.42976709,,2,2
43.05340389,-89.42976125,Non-Navigable (Plants),3,8
43.05466453,-89.42974957,No Information,10,10
43.04930467,-89.42936948,Non-Navigable (Plants),3,8
43.04993499,-89.42936364,,2,2
43.05056531,-89.4293578,,2,2
43.05119563,-89.42935195,,3,3
43.05182595,-89.42934611,,3,3
43.05245627,-89.42934026,,3,3
43.05308659,-89.42933442,,3,3
43.0537169,-89.42932858,Non-Navigable (Plants),3,8
43.04835705,-89.42894853,No Information,10,10
43.04898737,-89.42894268,Non-Navigable (Plants),3,8
43.04961769,-89.42893683,,2,2
43.050248,-89.42893099,,3,3
43.05087832,-89.42892514,,3,3
43.05150864,-89.42891929,,3,3
43.05213896,-89.42891344,,1,1
43.05276928,-89.42890759,,2,2
43.0533996,-89.42890174,,3,3
43.05402992,-89.42889589,Non-Navigable (Plants),3,8
43.04930038,-89.42851003,,2,2
43.0499307,-89.42850418,,2,2
43.05056102,-89.42849833,,1,1
43.05119134,-89.42849247,,3,3
43.05182166,-89.42848662,,1,1
43.05245198,-89.42848077,,3,3
43.0530823,-89.42847492,,0,0
43.05371262,-89.42846906,,3,3
43.05434293,-89.42846321,Non-Navigable (Plants),3,8
43.04898307,-89.42808323,Non-Navigable (Plants),3,8
43.04961339,-89.42807738,,2,2
43.05024371,-89.42807152,,2,2
43.05087403,-89.42806566,,0,0
43.05150435,-89.42805981,,1,1
43.05213467,-89.42805395,,0,0
43.05276499,-89.42804809,,3,3
43.05339531,-89.42804223,,2,2
43.05402563,-89.42803638,,3,3
43.05465595,-89.42803052,Non-Navigable (Plants),3,8
43.04929609,-89.42765058,,3,3
43.0499264,-89.42764472,,3,3
43.05055672,-89.42763886,,1,1
43.05118704,-89.427633,,1,1
43.05181736,-89.42762713,,1,1
43.05244768,-89.42762127,,1,1
43.053078,-89.42761541,,1,1
43.05370832,-89.42760955,,3,3
43.05433864,-89.42760369,Non-Navigable (Plants),3,8
43.04897878,-89.42722378,Non-Navigable (Plants),3,8
43.0496091,-89.42721792,,2,2
43.05023941,-89.42721205,,2,2
43.05086973,-89.42720619,,1,1
43.05150005,-89.42720032,,0,0
43.05213037,-89.42719446,,0,0
43.05276069,-89.42718859,,0,0
43.05339101,-89.42718272,,0,0
43.05402133,-89.42717686,,3,3
43.05465165,-89.42717099,Non-Navigable (Plants),3,8
43.04929178,-89.42679113,Non-Navigable (Plants),3,8
43.0499221,-89.42678526,,3,3
43.05055242,-89.42677939,,2,2
43.05118274,-89.42677352,,0,0
43.05181306,-89.42676765,,0,0
43.05244338,-89.42676178,,1,1
43.0530737,-89.42675591,,0,0
43.05370402,-89.42675003,,1,1
43.05433434,-89.42674416,,2,2
43.04960479,-89.42635846,Non-Navigable (Plants),3,8
43.05023511,-89.42635259,,3,3
43.05086543,-89.42634671,,1,1
43.05149575,-89.42634084,,0,0
43.05212607,-89.42633497,,0,0
43.05275639,-89.42632909,,0,0
43.0533867,-89.42632322,,1,1
43.05401702,-89.42631734,,2,2
43.05464734,-89.42631146,,1,1
43.0499178,-89.4259258,Non-Navigable (Plants),3,8
43.05054811,-89.42591992,,3,3
43.05117843,-89.42591404,,0,0
43.05180875,-89.42590816,,0,0
43.05243907,-89.42590228,,0,0
43.05306939,-89.4258964,,0,0
43.05369971,-89.42589052,,1,1
43.05433003,-89.42588464,,3,3
43.05496035,-89.42587876,,1,1
43.04960048,-89.42549901,Non-Navigable (Plants),3,8
43.0502308,-89.42549312,,2,2
43.05086112,-89.42548724,,1,1
43.05149144,-89.42548136,,0,0
43.05212176,-89.42547547,,0,0
43.05275207,-89.42546959,,0,0
43.05338239,-89.42546371,,0,0
43.05401271,-89.42545782,,1,1
43.05464303,-89.42545194,,3,3
43.04991348,-89.42506634,Non-Navigable (Plants),3,8
43.0505438,-89.42506045,,3,3
43.05117412,-89.42505456,,0,0
43.05180444,-89.42504867,,0,0
43.05243476,-89.42504278,,0,0
43.05306507,-89.4250369,,0,0
43.05369539,-89.42503101,,0,0
43.05432571,-89.42502512,,1,1
43.05495603,-89.42501923,,2,2
43.04959616,-89.42463955,Non-Navigable (Plants),3,8
43.05022648,-89.42463366,Non-Navigable (Plants),3,8
43.0508568,-89.42462777,,1,1
43.05148712,-89.42462188,,0,0
43.05211744,-89.42461598,,0,0
43.05274776,-89.42461009,,0,0
43.05337807,-89.4246042,,0,0
43.05400839,-89.4245983,,0,0
43.05463871,-89.42459241,,3,3
43.05526903,-89.42458652,,3,3
43.05053948,-89.42420098,,3,3
43.0511698,-89.42419508,,1,1
43.05180012,-89.42418919,,0,0
43.05243043,-89.42418329,,0,0
43.05306075,-89.42417739,,1,1
43.05369107,-89.42417149,,0,0
43.05432139,-89.4241656,,3,3
43.05495171,-89.4241597,,2,2
43.05022216,-89.42377419,Non-Navigable (Plants),3,8
43.05085248,-89.42376829,,3,3
43.05148279,-89.42376239,,0,0
43.05211311,-89.42375649,,0,0
43.05274343,-89.42375059,,0,0
43.05337375,-89.42374469,,0,0
43.05400407,-89.42373879,,0,0
43.05463439,-89.42373289,,2,2
43.0552647,-89.42372698,,2,2
43.05053515,-89.42334151,,2,2
43.05116547,-89.4233356,,3,3
43.05179579,-89.4233297,,0,0
43.05242611,-89.42332379,,0,0
43.05305643,-89.42331789,,0,0
43.05368674,-89.42331198,,0,0
43.05431706,-89.42330608,,0,0
43.05494738,-89.42330017,,2,2
43.05084814,-89.42290882,,3,3
43.05147846,-89.42290291,,0,0
43.05210878,-89.422897,,0,0
43.0527391,-89.42289109,,1,1
43.05336942,-89.42288518,,0,0
43.05399974,-89.42287927,,0,0
43.05463006,-89.42287336,,2,2
43.05526037,-89.42286745,,2,2
43.05053082,-89.42248204,,2,2
43.05116114,-89.42247613,,2,2
43.05179145,-89.42247021,,0,0
43.05242177,-89.4224643,,1,1
43.05305209,-89.42245838,,0,0
43.05368241,-89.42245247,,0,0
43.05431273,-89.42244655,,1,1
43.05494305,-89.42244064,,2,2
43.05557336,-89.42243472,,1,1
43.05084381,-89.42204935,,3,3
43.05147413,-89.42204343,,0,0
43.05210444,-89.42203751,,1,1
43.05273476,-89.42203159,,0,0
43.05336508,-89.42202567,,0,0
43.0539954,-89.42201975,,0,0
43.05462572,-89.42201383,,0,0
43.05525604,-89.42200791,,1,1
43.05052648,-89.42162257,,3,3
43.0511568,-89.42161665,,2,2
43.05178711,-89.42161073,,1,1
43.05241743,-89.4216048,,0,0
43.05304775,-89.42159888,,0,0
43.05367807,-89.42159296,,1,1
43.05430839,-89.42158703,,0,0
43.0549387,-89.42158111,,1,1
43.05556902,-89.42157518,,2,2
43.05020914,-89.4211958,,1,1
43.05083946,-89.42118987,,3,3
43.05146978,-89.42118395,,0,0
43.0521001,-89.42117802,,0,0
43.05273042,-89.42117209,,0,0
43.05336074,-89.42116616,,1,1
43.05399105,-89.42116024,,0,0
43.05462137,-89.42115431,,1,1
43.05525169,-89.42114838,,3,3
43.05588201,-89.42114245,,2,2
43.05052213,-89.4207631,,3,3
43.05115245,-89.42075717,,3,3
43.05178277,-89.42075124,,0,0
43.05241308,-89.42074531,,0,0
43.0530434,-89.42073938,,0,0
43.05367372,-89.42073344,,0,0
43.05430404,-89.42072751,,0,0
43.05493436,-89.42072158,,2,2
43.05556468,-89.42071565,,3,3
