sampledate,site,Depth,Temp_C,pH,DO_mgL,DO_perc,Conductivity,dic
2023-04-07,7,0,7.5,8.25,12.88,107.5,834,NA
2022-07-13,6,0,26.6,9.75,19.87,250.5,682,22.21
2023-02-17,8,0,3.5,7.29,14.2,110.5,785,23.17
2022-07-21,6,0,25.4,9.45,11.33,138.3,672,24.05
2022-07-07,6,0,25.9,9.64,15.71,189.9,663,24.21
2022-08-18,6,0,25.6,9.36,15.14,187.4,700,27.48
2022-06-28,6,0,24.6,9.42,17.19,207,688,28.31
2022-07-28,7,0,26.1,9.18,11.78,145.3,701,29.47
2022-07-07,7,0,25.9,9.21,12.36,152.3,695,29.78
2022-07-13,8,0,26.9,9.18,15.19,188.8,709,30.09
2022-08-18,7,0,25.1,9.06,12.32,149.5,706,30.76
2023-02-17,5,0,3.1,7.74,16.09,120,804,30.99
2022-07-21,7,0,25.8,9.03,10.65,131.1,706,31.19
2022-07-07,8,0,25.9,9.06,10.51,129.5,699,31.19
2022-07-28,5,0,25.9,9.04,9.1,112.1,706,31.27
2022-07-28,8,0,25.5,8.96,10.22,125,709,31.75
2023-01-23,5,0,1.6,8.44,16.95,121.6,648,31.82
2022-09-23,6,0,18.7,8.67,8.72,93.8,692,32.2
2022-09-23,7,0,19,8.68,9.37,101.1,684,32.37
2022-09-23,8,0,18.8,8.37,7.65,82.2,700,32.475
2022-07-21,5,0,25.9,8.88,8.6,106,713,32.56
2022-07-21,8,0,25.3,8.77,8.41,102.4,718,32.63
2022-08-18,8,0,25.6,8.99,12.43,152.2,719,32.84
2022-09-23,5,0,19.6,8.61,8.4,91.9,683,33.14
2023-01-23,1,0,1.7,8.45,20.77,159.3,825,33.36
2022-07-21,1,0,26.2,8.76,8.46,104.7,723,33.96
2022-08-18,5,0,24.5,8.86,10.55,126.6,716,34.21
2022-06-20,7,0,26.1,8.96,14.81,183.1,719,34.21
2022-07-07,4,0,27,8.93,10.49,131.5,706,34.49
2022-07-13,5,0,25.7,8.87,9.26,113.8,726,34.61
2022-06-20,6,0,25.8,9,15.53,190.8,727,34.69
2022-06-28,8,0,23.6,8.92,11.63,137.4,718,34.7
2022-07-07,1,0,26,8.89,10.43,128.8,721,35
2022-07-28,1,0,25.6,8.79,8.57,105.1,723,35.02
2022-07-07,2,0,27.1,9.01,11.35,142.4,717,35.23
2022-09-23,4,0,19.1,8.3,8.01,86.7,682,35.39
2022-07-28,4,0,26.5,8.96,12.14,150.9,722,35.45
2022-09-23,1,0,19.7,8.45,8.15,89.2,698,35.59
2022-06-20,8,0,26.2,8.83,13.15,162.3,742,35.59
2022-09-23,2,0,19.2,8.59,10.27,111.3,693,35.66
2022-07-13,1,0,25.5,8.8,9.29,113.6,732,35.99
2022-07-07,5,0,26.5,8.87,9.66,119.9,729,36.13
2023-02-17,1,0,1.4,9.15,18.83,135.5,689,36.27
2022-07-07,3,0,27.3,8.89,12.3,149.9,692,36.36
2022-06-28,5,0,24.8,8.81,9.83,118.7,731,36.47
2022-07-28,2,0,25.3,8.73,9.17,111.7,724,36.5
2022-06-28,7,0,24.9,8.9,12.18,147.7,737,36.64
2022-07-21,4,0,26.4,8.78,11.65,145.1,732,36.75
2022-06-13,6,0,20.7,8.91,13.47,150.4,731,36.88
2023-02-17,4,0,2.3,7.7,19.45,142.1,777,37.05
2022-10-28,6,0,11.2,8.7,12.89,117.4,731,37.139
2022-10-28,7,0,10.5,8.61,12.79,114.9,738,37.331
2022-10-19,5,0,6.7,8.4,11.72,95.9,730,37.6
2022-06-20,4,0,23.5,8.82,13.52,159.3,724,37.98
2022-10-28,8,0,12.8,8.51,11.49,108.8,743,38.315
2022-10-19,6,0,5.7,8.56,12.83,102.3,731,38.34
2022-10-19,7,0,6.5,8.42,12.13,98.8,737,38.48
2022-07-13,2,0,25,8.52,8.32,101.1,752,38.49
2022-06-20,2,0,23.2,9.05,14.59,170.4,704,38.72
2022-10-28,5,0,12,8.53,11.58,107.2,744,38.87
2022-06-13,2,0,21.4,9.09,21.16,238.1,715,38.98
2023-02-17,3,0,1.4,8.22,17.85,127.1,887,39
2022-10-19,8,0,7,8.36,11.42,94.3,739,39
2022-10-19,3,0,7.5,8.44,11.84,99,743,39.18
2022-06-28,1,0,24.9,8.66,9.54,115.3,749,39.47
2022-09-23,3,0,18.6,8.18,9.1,97.6,728,39.65
2022-10-28,1,0,11.5,8.5,11.74,107.9,751,39.79
2022-10-19,1,0,7.4,8.28,11.31,94.2,748,39.86
2023-05-17,8,0,18.2,8.23,15.44,165.5,836,39.94
2022-10-28,2,0,10.8,8.51,12.37,111.7,758,40.13
2022-06-28,2,0,25.1,8.75,11.36,137.7,759,40.55
2023-01-23,8,0,3,7.97,17.19,126.7,683,40.55
2022-06-28,4,0,25,8.73,11.73,141.8,758,40.7
2022-06-20,5,0,24.5,8.68,10.38,124.8,758,40.72
2023-02-17,6,0,3.1,7.15,4.01,32.1,790,40.95
2022-10-19,2,0,6.4,8.42,12.84,104.5,775,41.09
2023-05-04,4,0,14.9,8.7,18.09,179.3,853,41.12
2022-06-20,1,0,24.1,8.6,10.07,120.1,759,41.31
2022-10-28,4,0,10.8,8.43,11.78,106.7,758,41.67
2023-05-17,3,0,16.1,8.13,12.25,124.2,852,41.71
2022-06-13,8,0,20.4,8.7,11.44,127.2,763,41.96
2022-10-19,4,0,8.1,8.35,11.59,98.4,762,42.15
2023-05-17,7,0,18.2,8.14,12.3,130.6,855,42.44
2022-10-28,3,0,10.4,8.41,12.73,114.2,780,42.55
2022-06-28,3,0,25.4,8.63,12.4,152.5,776,42.65
2022-07-21,2,0,25.9,8.53,9.2,112.8,762,43.22
2023-05-17,6,0,18.2,7.92,11.2,119.1,859,43.53
2023-05-17,2,0,16.6,8.07,12.13,124.7,860,43.57
2023-01-23,2,0,0.6,8.21,22.48,156.7,905,43.92
2022-06-01,2,0,21.1,8.82,15.61,175.6,760,44.15
2022-06-20,3,0,23.4,8.42,11.25,132.5,746,44.34
2023-04-07,6,0,8.2,8.3,11.68,99.5,832,44.47
2022-06-13,7,0,21.2,8.62,10.7,120.6,784,44.51
2023-05-17,5,0,17.5,7.97,10.29,107.8,866,44.59
2023-05-17,1,0,17.3,7.85,9.85,102.7,866,44.71
2022-06-13,5,0,20.8,8.63,10.51,117.6,781,44.77
2022-06-13,4,0,21.6,8.78,12.49,142.1,778,44.91
2023-02-17,7,0,1.7,7.48,9.88,71.1,779,45.14
2023-05-04,2,0,12.8,8.34,15.52,147.2,868,45.3
2023-01-23,3,0,1.6,8.5,20.85,148.7,700,45.33
2023-05-04,3,0,12.6,8.56,13.8,129.8,867,45.77
2022-06-13,1,0,21.2,8.66,10.95,123.6,785,45.85
2023-05-17,4,0,15.5,8.74,10.95,110.1,864,45.87
2023-01-23,4,0,2.3,8.52,23.23,168.7,736,46.03
2023-05-04,7,0,12.4,8.14,12.3,115.8,869,46.03
2023-05-04,6,0,12.1,8.37,11.55,107.6,872,46.15
2023-05-04,5,0,11.8,8.18,11.6,107.3,879,46.18
2023-02-10,6,0,1.6,8.2,8.59,61.5,722,46.35
2023-04-07,8,0,9.1,8.55,14.55,126.3,815,46.38
2022-07-13,4,0,24.4,8.1,7.2,86.4,761,46.43
2023-05-04,8,0,12,8.51,13.29,123.1,873,46.48
2023-04-07,2,0,7.8,8.41,13.09,110.2,852,46.62
2023-05-04,1,0,11.8,8.5,11.61,107.5,872,46.68
2023-04-07,5,0,7.4,8.35,12.89,103.3,828,47.04
2022-06-13,3,0,21.7,8.47,12.16,139,802,47.36
2023-03-28,4,0,7.8,8.12,16.76,141.4,848,47.36
2022-07-28,3,0,25.4,8.4,10.34,127,810,47.56
2023-03-28,1,0,6.4,8.01,14.74,120,861,47.62
2023-03-28,2,0,7.7,8.57,16.36,136.9,934,47.69
2023-01-23,7,0,0.7,8.32,18.84,131.5,743,47.86
2022-06-01,4,0,21.7,8.82,14.01,156,797,47.94
2023-04-07,1,0,7.4,8.28,12.22,101.8,824,48.01
2023-03-28,5,0,5.8,8.71,14.1,112.8,854,48.13
2023-03-28,8,0,8.1,8.83,15.38,129,826,48.13
2022-07-13,3,0,24.9,8.35,10.23,124.1,823,48.27
2023-03-28,7,0,6.7,8.69,14.35,118.6,835,48.47
2023-03-28,3,0,7.5,8.24,15.79,131.6,863,48.5
2023-03-28,6,0,6.4,8.35,14.51,118.1,843,48.53
2023-04-07,3,0,7.1,8.45,12.56,104.1,844,48.56
2023-03-23,2,0,4.8,8.4,15.06,117.6,863,48.92
2023-03-23,7,0,5.5,8.41,14.37,114.3,869,49.3
2023-03-23,3,0,5.1,8.56,14.74,116,864,49.49
2023-01-23,6,0,1.3,8.09,15.32,108.7,714,49.65
2022-06-01,1,0,20.8,8.63,9.42,105.5,811,49.68
2023-03-23,6,0,5.8,8.47,14.63,117.2,848,49.81
2023-03-23,5,0,5.1,8.53,14.26,112.2,867,50.29
2022-06-01,3,0,20.8,8.71,13.56,151.8,812,50.96
2023-02-10,3,0,1.6,8.21,19.04,137.5,838,50.97
2023-03-23,4,0,5.5,8.51,14.92,118.6,873,51.13
2023-03-23,1,0,4.6,8.16,14.09,109.3,861,51.29
2023-02-10,4,0,2.3,8.16,21.09,153.3,800,51.47
2023-02-10,8,0,1.6,8.75,20.04,143.7,803,51.87
2023-02-10,5,0,1.9,8.55,20.35,147.4,783,53.5
2023-02-10,2,0,0.6,8.33,22.3,155.6,946,54.04
2023-03-23,8,0,6.7,8.44,15.62,128.3,923,54.93
2023-02-10,7,0,1.3,7.65,13.03,92.7,806,55.09
2023-02-10,1,0,1.5,8.61,21.64,153.7,776,55.82
2023-04-07,4,0,7.3,8.6,12.9,107.4,820,57.01
2022-06-01,1,0.5,20.8,8.62,9.37,104.9,811,NA
2022-06-01,1,0.75,20.8,8.63,9.41,105.4,811,NA
2022-06-01,1,1,20.8,8.64,9.44,105.8,811,NA
2022-06-01,1,1.25,20.8,8.63,9.47,106.1,811,NA
2022-06-01,1,1.5,20.8,8.63,9.45,105.8,811,NA
2022-06-01,1,1.75,20.8,8.63,9.46,106,811,NA
2022-06-01,1,2,20.8,8.63,9.48,106.1,811,NA
2022-06-01,1,2.25,20.8,8.63,9.45,105.8,811,NA
2022-06-01,1,2.5,20.8,8.63,9.49,106.3,811,NA
2022-06-01,1,2.75,20.8,8.63,9.48,106.3,811,NA
2022-06-01,1,3,20.8,8.62,9.34,104.5,811,NA
2022-06-01,1,3.25,20.7,8.59,9.11,102.4,811,NA
2022-06-01,1,3.5,19.9,8.12,4.48,49.1,827,NA
2022-06-06,1,0,21.1,8.6,10.06,113.4,804,NA
2022-06-06,1,0.5,21.1,8.6,10.07,113.5,804,NA
2022-06-06,1,0.75,21.1,8.6,10.08,113.5,804,NA
2022-06-06,1,1,21.1,8.59,10.07,113.3,804,NA
2022-06-06,1,1.25,21,8.59,10.05,113,804,NA
2022-06-06,1,1.5,21,8.59,10.02,112.5,804,NA
2022-06-06,1,1.75,21,8.58,10.01,112.4,805,NA
2022-06-06,1,2,20.9,8.58,9.97,111.9,805,NA
