sampledate,site,Depth,Temp_C,pH,dic_na,dic,flag
2022-06-01,1,0,20.8,8.63,49.68,49.68,
2022-06-06,1,0,21.1,8.6,NA,45.85,
2022-06-09,1,0,20.3,8.47,NA,45.85,
2022-06-13,1,0,21.2,8.66,45.85,45.85,
2022-06-16,1,0,23.7,8.67,NA,41.31,
2022-06-20,1,0,24.1,8.6,41.31,41.31,
2022-06-23,1,0,25.9,8.68,NA,40.39,
2022-06-28,1,0,24.9,8.66,39.47,39.47,
2022-07-01,1,0,25.3,8.79,NA,35,
2022-07-05,1,0,26.3,8.89,NA,35.99,
2022-07-07,1,0,26,8.89,35,35,
2022-07-11,1,0,25.2,8.74,NA,35.495,
2022-07-13,1,0,25.5,8.8,35.99,35.99,
2022-07-18,1,0,26.3,8.88,NA,34.975,
2022-07-21,1,0,26.2,8.76,33.96,33.96,
2022-07-25,1,0,26,8.77,NA,34.49,
2022-07-28,1,0,25.6,8.79,35.02,35.02,
2022-08-02,1,0,25.5,8.81,NA,35.02,
2022-08-04,1,0,25.7,8.81,NA,35.02,
2022-08-12,1,0,25.4,8.81,NA,35.02,
2022-08-16,1,0,23.6,8.73,NA,35.02,
2022-08-18,1,0,24.2,8.84,NA,35.02,
2022-09-09,1,0,22.6,8.85,NA,35.59,
2022-09-23,1,0,19.7,8.45,35.59,35.59,
2022-10-19,1,0,7.4,8.28,39.86,39.86,
2022-10-28,1,0,11.5,8.5,39.79,39.79,
2023-01-23,1,0,1.7,8.45,33.36,33.36,
2023-02-10,1,0,1.5,8.61,55.82,55.82,
2023-02-17,1,0,1.4,9.15,36.27,36.27,
2023-03-23,1,0,4.6,8.16,51.29,51.29,
2023-03-28,1,0,6.4,8.01,47.62,47.62,
2023-04-07,1,0,7.4,8.28,48.01,48.01,
2023-04-27,1,0,10.4,8.37,48.01,48.01,
2023-05-04,1,0,11.8,8.5,46.68,46.68,
2023-05-17,1,0,17.3,7.85,44.71,44.71,
2022-06-01,2,0,21.1,8.82,44.15,44.15,
2022-06-06,2,0,21.1,8.9,NA,41.565,
2022-06-09,2,0,19.3,8.7,NA,40.2075,
2022-06-13,2,0,21.4,9.09,38.98,38.98,
2022-06-16,2,0,22.9,8.79,NA,38.85,
2022-06-20,2,0,23.2,9.05,38.72,38.72,
2022-06-23,2,0,25.6,8.75,NA,39.635,
2022-06-28,2,0,25.1,8.75,40.55,40.55,
2022-07-01,2,0,24.6,8.45,NA,37.89,
2022-07-05,2,0,26.2,8.36,NA,37.89,
2022-07-07,2,0,27.1,9.01,35.23,35.23,
2022-07-11,2,0,23.7,8.37,NA,36.86,
2022-07-13,2,0,25,8.52,38.49,38.49,
2022-07-18,2,0,27.3,8.77,NA,40.855,
2022-07-21,2,0,25.9,8.53,43.22,43.22,
2022-07-25,2,0,25.3,8.77,NA,39.86,
2022-07-28,2,0,25.3,8.73,36.5,36.5,
2022-08-02,2,0,25.8,8.87,NA,36.5,
2022-08-04,2,0,25.1,8.74,NA,36.5,
2022-08-12,2,0,24.4,8.85,NA,36.5,
2022-08-16,2,0,23.1,8.86,NA,36.5,
2022-08-18,2,0,24.2,8.83,NA,36.5,
2022-09-09,2,0,22.6,8.51,NA,35.66,
2022-09-23,2,0,19.2,8.59,35.66,35.66,
2022-10-19,2,0,6.4,8.42,41.09,41.09,
2022-10-28,2,0,10.8,8.51,40.13,40.13,
2023-01-23,2,0,0.6,8.21,43.92,43.92,
2023-02-10,2,0,0.6,8.33,54.04,54.04,
2023-02-17,2,0,0.7,8.17,NA,51.48,
2023-03-23,2,0,4.8,8.4,48.92,48.92,
2023-03-28,2,0,7.7,8.57,47.69,47.69,
2023-04-07,2,0,7.8,8.41,46.62,46.62,
