Identifier,Filtered,Date,Site,Sampling,TN_ug_l,TP_ug_l
249962,UF,2022-06-01,1,1,806.809,49.691
249963,F,2022-06-01,1,1,722.748,13.418
251762,UF,2022-06-13,1,2,889.92,49.833
251763,F,2022-06-13,1,2,541.027,14.42
251842,UF,2022-06-20,1,3,838.107,44.488
251843,F,2022-06-20,1,3,523.031,14.884
251922,UF,2022-06-28,1,4,866.572,44.436
251923,F,2022-06-28,1,4,480.958,10.316
252002,UF,2022-07-07,1,5,746.992,27.991
252003,F,2022-07-07,1,5,532.757,9.527
253332,UF,2022-07-13,1,6,843.284,36.079
253333,F,2022-07-13,1,6,534.181,13.828
256622,UF,2022-07-21,1,7,1014.206,27.951
256623,F,2022-07-21,1,7,506.622,9.294
257602,UF,2022-07-28,1,8,804.694,33.492
257603,F,2022-07-28,1,8,514.837,3.437
259432,UF,2022-08-11,1,9,774.246,29.642
259433,F,2022-08-11,1,9,504.617,4.87
262862,UF,2022-08-18,1,10,675.407,11.765
262863,F,2022-08-18,1,10,501.465,3.009
265782,UF,2022-09-09,1,11,575.497,25.786
265783,F,2022-09-09,1,11,583.54,6.772
266272,UF,2022-09-23,1,12,626.7,27.515
266273,F,2022-09-23,1,12,310.938,2.663
266582,UF,2022-10-21,1,13,616.977,22.72
266583,F,2022-10-21,1,13,446.427,8.419
267932,UF,2022-10-28,1,14,560.597,18.055
267933,F,2022-10-28,1,14,337.215,2.781
269102,UF,2023-01-23,1,15,604.032,21.986
269103,F,2023-01-23,1,15,393.491,5.781
269182,UF,2023-02-10,1,16,763.675,22.937
269183,F,2023-02-10,1,16,678.346,8.261
269872,UF,2023-02-17,1,17,731.945,36.043
269873,F,2023-02-17,1,17,492.843,10.952
270232,UF,2023-03-23,1,18,747.564,18.353
270233,F,2023-03-23,1,18,403.223,4.171
270312,UF,2023-04-07,1,19,830.664,32.967
270313,F,2023-04-07,1,19,512.035,9.687
270802,UF,2023-04-27,1,20,645.53,28.504
270803,F,2023-04-27,1,20,455.684,7.122
271192,UF,2023-05-04,1,21,613.575,30.98
271193,F,2023-05-04,1,21,399.631,0.775
271632,UF,2023-05-17,1,22,607.744,30.536
271633,F,2023-05-17,1,22,409.1,5.948
249972,UF,2022-06-01,2,1,1154.24,102.835
249973,F,2022-06-01,2,1,654.125,48.205
251772,UF,2022-06-13,2,2,830.773,47.715
251773,F,2022-06-13,2,2,611.801,17.776
251852,UF,2022-06-20,2,3,1064.023,83.528
251853,F,2022-06-20,2,3,627.981,22.812
251932,UF,2022-06-28,2,4,1216.76,72.195
251933,F,2022-06-28,2,4,594.489,14.921
252012,UF,2022-07-07,2,5,796.394,43.363
252013,F,2022-07-07,2,5,604.295,24.071
253342,UF,2022-07-13,2,6,851.583,43.009
253343,F,2022-07-13,2,6,619.165,25.158
256632,UF,2022-07-21,2,7,1078.83,18.919
256633,F,2022-07-21,2,7,597.598,10.361
257612,UF,2022-07-28,2,8,782.032,39.659
257613,F,2022-07-28,2,8,514.182,6.287
259442,UF,2022-08-11,2,9,918.801,54.133
259443,F,2022-08-11,2,9,539.289,9.015
262872,UF,2022-08-18,2,10,774.113,48.38
262873,F,2022-08-18,2,10,512.762,8.793
265792,UF,2022-09-09,2,11,729.721,51.956
265793,F,2022-09-09,2,11,473.068,19.776
266282,UF,2022-09-23,2,12,663.881,42.764
266283,F,2022-09-23,2,12,326.147,4.4
266592,UF,2022-10-21,2,13,622.342,22.835
266593,F,2022-10-21,2,13,501.075,9.461
267942,UF,2022-10-28,2,14,695.312,30.469
267943,F,2022-10-28,2,14,342.994,2.727
269112,UF,2023-01-23,2,15,478.958,36.252
269113,F,2023-01-23,2,15,309.605,8.526
269192,UF,2023-02-10,2,16,828.887,60.986
269193,F,2023-02-10,2,16,383.624,15.602
269882,UF,2023-02-17,2,17,591.218,40.727
269883,F,2023-02-17,2,17,362.901,12.24
270242,UF,2023-03-23,2,18,889.077,21.453
270243,F,2023-03-23,2,18,358.771,4.608
270322,UF,2023-04-07,2,19,760.212,33.01
270323,F,2023-04-07,2,19,546.169,9.654
270812,UF,2023-04-27,2,20,748.602,33.514
270813,F,2023-04-27,2,20,470.499,10.337
271202,UF,2023-05-04,2,21,533.701,23.576
271203,F,2023-05-04,2,21,403.349,2.671
271642,UF,2023-05-17,2,22,658.662,33.116
271643,F,2023-05-17,2,22,403.719,8.633
249982,UF,2022-06-01,3,1,1062.771,84.375
249983,F,2022-06-01,3,1,523.336,18.057
251782,UF,2022-06-13,3,2,1314.842,112.53
251783,F,2022-06-13,3,2,672.625,19.939
251862,UF,2022-06-20,3,3,1321.886,87.637
251863,F,2022-06-20,3,3,692.682,20.172
251942,UF,2022-06-28,3,4,1079.219,69.877
251943,F,2022-06-28,3,4,573.114,12.895
252022,UF,2022-07-07,3,5,1235.269,86.63
252023,F,2022-07-07,3,5,610.51,20.268
253352,UF,2022-07-13,3,6,1308.459,99.467
253353,F,2022-07-13,3,6,598.246,22.38
256642,UF,2022-07-21,3,7,1049.137,14.687
256643,F,2022-07-21,3,7,713.444,6.341
257622,UF,2022-07-28,3,8,1220.976,98.415
257623,F,2022-07-28,3,8,546.456,14.246
259452,UF,2022-08-11,3,9,1636.071,180.247
259453,F,2022-08-11,3,9,545.641,13.022
262882,UF,2022-08-18,3,10,781.782,47.867
262883,F,2022-08-18,3,10,564.503,15.125
265802,UF,2022-09-09,3,11,1102.818,82.864
265803,F,2022-09-09,3,11,617,19.659
266292,UF,2022-09-23,3,12,921.348,80.508
266293,F,2022-09-23,3,12,367.458,5.912
266602,UF,2022-10-21,3,13,601.6,22.889
266603,F,2022-10-21,3,13,415.359,8.899
267952,UF,2022-10-28,3,14,683.471,36.085
267953,F,2022-10-28,3,14,660.9,1.467
269122,UF,2023-01-23,3,15,741.024,43.623
269123,F,2023-01-23,3,15,448.618,12.124
269202,UF,2023-02-10,3,16,682.79,26.133
269203,F,2023-02-10,3,16,606.455,9.129
269892,UF,2023-02-17,3,17,880.482,77.168
269893,F,2023-02-17,3,17,516.298,7.109
270252,UF,2023-03-23,3,18,746.903,20.606
270253,F,2023-03-23,3,18,424.337,4.71
270332,UF,2023-04-07,3,19,808.489,30.894
270333,F,2023-04-07,3,19,598.484,9.442
270822,UF,2023-04-27,3,20,743.814,29.963
270823,F,2023-04-27,3,20,524.027,10.959
271212,UF,2023-05-04,3,21,529.589,21.076
271213,F,2023-05-04,3,21,358.781,3.499
271652,UF,2023-05-17,3,22,808.962,39.305
271653,F,2023-05-17,3,22,420.107,8.346
249992,UF,2022-06-01,4,1,942.339,62.635
249993,F,2022-06-01,4,1,556.024,22.978
251792,UF,2022-06-13,4,2,853.616,47.921
251793,F,2022-06-13,4,2,641.774,18.372
251872,UF,2022-06-20,4,3,906.7,56.019
251873,F,2022-06-20,4,3,610.01,12.131
251952,UF,2022-06-28,4,4,849.195,47.871
251953,F,2022-06-28,4,4,535.13,11.683
252032,UF,2022-07-07,4,5,886.52,46.065
252033,F,2022-07-07,4,5,545.433,14.231
253362,UF,2022-07-13,4,6,702.678,33.331
253363,F,2022-07-13,4,6,602.913,10.667
256652,UF,2022-07-21,4,7,738.464,10.925
256653,F,2022-07-21,4,7,707.944,13.459
257632,UF,2022-07-28,4,8,770.422,31.837
257633,F,2022-07-28,4,8,573.349,11.677
259462,UF,2022-08-11,4,9,824.916,46.16
259463,F,2022-08-11,4,9,548.209,9.869
262892,UF,2022-08-18,4,10,910.609,59.217
262893,F,2022-08-18,4,10,572.413,13.773
265812,UF,2022-09-09,4,11,666.899,43.5
265813,F,2022-09-09,4,11,425.417,14.023
266302,UF,2022-09-23,4,12,727.54,42.723
266303,F,2022-09-23,4,12,333.7,4.102
266612,UF,2022-10-21,4,13,567.387,23.341
266613,F,2022-10-21,4,13,506.381,8.738
267962,UF,2022-10-28,4,14,634.543,34.552
267963,F,2022-10-28,4,14,318.415,4.238
269132,UF,2023-01-23,4,15,563.834,19.185
269133,F,2023-01-23,4,15,485.008,8.846
269212,UF,2023-02-10,4,16,588.533,18.112
269213,F,2023-02-10,4,16,505.831,7.468
269902,UF,2023-02-17,4,17,1172.885,68.604
269903,F,2023-02-17,4,17,543.738,21.711
270262,UF,2023-03-23,4,18,864.955,21.901
270263,F,2023-03-23,4,18,455.381,5.537
270342,UF,2023-04-07,4,19,722.58,32.082
270343,F,2023-04-07,4,19,466.933,7.315
270832,UF,2023-04-27,4,20,965.81,26.349
270833,F,2023-04-27,4,20,795.046,17.54
271222,UF,2023-05-04,4,21,595.512,28.321
271223,F,2023-05-04,4,21,354.552,4.105
271662,UF,2023-05-17,4,22,715.186,36.757
271663,F,2023-05-17,4,22,431.79,7.436
250002,UF,2022-06-01,5,1,908.456,53.692
250003,F,2022-06-01,5,1,839.961,51.756
251802,UF,2022-06-13,5,2,891.077,46.973
251803,F,2022-06-13,5,2,580.486,15.316
251882,UF,2022-06-20,5,3,728.532,36.034
251883,F,2022-06-20,5,3,524.959,11.814
251962,UF,2022-06-28,5,4,760.407,37.854
251963,F,2022-06-28,5,4,533.47,12.931
252042,UF,2022-07-07,5,5,707.042,27.705
252043,F,2022-07-07,5,5,589.504,10.359
253372,UF,2022-07-13,5,6,740.724,29.89
253373,F,2022-07-13,5,6,535.608,11.428
256662,UF,2022-07-21,5,7,787.41,10.702
256663,F,2022-07-21,5,7,667.17,11.015
257642,UF,2022-07-28,5,8,705.491,24.325
257643,F,2022-07-28,5,8,491.007,2.605
259472,UF,2022-08-11,5,9,743.736,24.676
259473,F,2022-08-11,5,9,448.085,6.436
262902,UF,2022-08-18,5,10,659.275,20.391
262903,F,2022-08-18,5,10,492.539,6.761
265822,UF,2022-09-09,5,11,592.838,23.217
265823,F,2022-09-09,5,11,397.339,11.347
266312,UF,2022-09-23,5,12,598.538,26.19
266313,F,2022-09-23,5,12,316.111,3.756
266622,UF,2022-10-21,5,13,581.897,23.23
266623,F,2022-10-21,5,13,427.471,10.882
267972,UF,2022-10-28,5,14,605.208,19.818
267973,F,2022-10-28,5,14,353.631,3.738
269142,UF,2023-01-23,5,15,414.438,9.128
269143,F,2023-01-23,5,15,410.192,4.766
269222,UF,2023-02-10,5,16,653.15,12.021
269223,F,2023-02-10,5,16,584.758,5.596
269912,UF,2023-02-17,5,17,755.87,36.142
269913,F,2023-02-17,5,17,518.471,8.837
270272,UF,2023-03-23,5,18,793.733,22.584
270273,F,2023-03-23,5,18,449.173,5.954
270352,UF,2023-04-07,5,19,789.77,32.076
270353,F,2023-04-07,5,19,539.664,8.762
270842,UF,2023-04-27,5,20,684.143,35.491
270843,F,2023-04-27,5,20,460.299,12.306
271232,UF,2023-05-04,5,21,529.909,18.375
271233,F,2023-05-04,5,21,435.224,3.467
271672,UF,2023-05-17,5,22,564.681,31.411
271673,F,2023-05-17,5,22,371.626,5.258
250012,UF,2022-06-01,6,1,828.619,46.369
250013,F,2022-06-01,6,1,652.631,23.972
251812,UF,2022-06-13,6,2,719.471,29.424
251813,F,2022-06-13,6,2,555.468,12.363
251892,UF,2022-06-20,6,3,702.592,35.077
