sample_id,chla_correct_ugl,date,site
1,31.4,2022-06-09,1
2,7.7,2022-06-09,2
3,54.5,2022-06-09,3
4,11.9,2022-06-09,4
5,18.6,2022-06-09,5
6,14.6,2022-06-09,6
7,9.4,2022-06-09,7
8,22.8,2022-06-09,8
9,5.2,2022-06-23,1
10,3,2022-06-23,2
11,8.9,2022-06-23,3
12,9.2,2022-06-23,4
13,5,2022-06-23,5
14,4.5,2022-06-23,6
15,5.7,2022-06-23,7
16,6.4,2022-06-23,8
17,6.7,2022-07-05,1
18,8.9,2022-07-05,2
19,31.7,2022-07-05,3
20,5.7,2022-07-05,4
21,9.2,2022-07-05,5
22,4,2022-07-05,6
23,6.9,2022-07-05,7
24,2.5,2022-07-05,8
25,10.9,2022-07-25,1
26,5.9,2022-07-25,2
27,36.4,2022-07-25,3
28,6.2,2022-07-25,4
29,10.9,2022-07-25,5
30,4.7,2022-07-25,6
31,8.2,2022-07-25,7
32,2.6,2022-07-25,8
33,8.9,2022-08-04,1
34,10.6,2022-08-04,2
35,31.2,2022-08-04,3
36,7.9,2022-08-04,4
37,9.2,2022-08-04,5
38,5.2,2022-08-04,6
39,11.9,2022-08-04,7
40,7.9,2022-08-04,8
41,14.4,2022-08-16,1
42,16.6,2022-08-16,2
43,9.4,2022-08-16,3
44,12.6,2022-08-16,4
45,16.3,2022-08-16,5
46,5.9,2022-08-16,6
47,6.2,2022-08-16,7
48,8.2,2022-08-16,8
49,10.2,2022-09-09,1
50,4.5,2022-09-09,2
51,12.1,2022-09-09,3
52,23,2022-09-09,4
53,15.2,2022-09-09,5
54,13.1,2022-09-09,6
55,16.5,2022-09-09,7
56,12,2022-09-09,8
57,13,2022-09-23,1
58,8.9,2022-09-23,2
59,20.8,2022-09-23,3
60,15.8,2022-09-23,4
61,21.4,2022-09-23,5
62,21.3,2022-09-23,6
63,17.3,2022-09-23,7
64,13.1,2022-09-23,8
65,14.6,2022-10-19,1
66,7.9,2022-10-19,2
67,3.5,2022-10-19,3
68,5.7,2022-10-19,4
69,9.4,2022-10-19,5
70,9.4,2022-10-19,6
71,11.9,2022-10-19,7
72,7.9,2022-10-19,8
73,11.1,2022-10-28,1
74,15.1,2022-10-28,2
75,14.1,2022-10-28,3
76,16.3,2022-10-28,4
77,8.9,2022-10-28,5
78,10.6,2022-10-28,6
79,15.1,2022-10-28,7
80,6.2,2022-10-28,8
81,6.7,2023-01-23,1
82,14.9,2023-01-23,2
83,25.4,2023-01-23,3
84,7.2,2023-01-23,4
85,3.2,2023-01-23,5
86,3.9,2023-01-23,6
87,7.2,2023-01-23,7
88,3.7,2023-01-23,8
89,6.7,2023-02-10,1
90,38.6,2023-02-10,2
91,6.3,2023-02-10,3
92,3.3,2023-02-10,4
93,2.8,2023-02-10,5
94,2.9,2023-02-10,6
95,10,2023-02-10,7
96,2.8,2023-02-10,8
97,25.8,2023-02-17,1
98,12.8,2023-02-17,2
99,32.3,2023-02-17,3
100,25.8,2023-02-17,4
101,17.1,2023-02-17,5
102,9,2023-02-17,6
103,5,2023-02-17,7
104,7.1,2023-02-17,8
105,5.9,2023-03-23,1
106,3.7,2023-03-23,2
107,5.8,2023-03-23,3
108,9.7,2023-03-23,4
109,3.2,2023-03-23,5
110,10.4,2023-03-23,6
111,7.1,2023-03-23,7
112,3.9,2023-03-23,8
113,13.2,2023-04-07,1
114,9.5,2023-04-07,2
115,13.4,2023-04-07,3
116,14.9,2023-04-07,4
117,11.7,2023-04-07,5
118,9.3,2023-04-07,6
119,6.3,2023-04-07,7
120,9.7,2023-04-07,8
