sampledate,Site,Depth,Temp_C,DO_perc,DO_mgL,Conductivity,pH,Chlorophyll
2022-06-01,1,0,20.8,105.5,9.42,811,8.63,5.55
2022-06-01,1,0.5,20.8,104.9,9.37,811,8.62,5.43
2022-06-01,1,0.75,20.8,105.4,9.41,811,8.63,7.81
2022-06-01,1,1,20.8,105.8,9.44,811,8.64,6.45
2022-06-01,1,1.25,20.8,106.1,9.47,811,8.63,7.2
2022-06-01,1,1.5,20.8,105.8,9.45,811,8.63,7.7
2022-06-01,1,1.75,20.8,106,9.46,811,8.63,7.49
2022-06-01,1,2,20.8,106.1,9.48,811,8.63,7.35
2022-06-01,1,2.25,20.8,105.8,9.45,811,8.63,6.92
2022-06-01,1,2.5,20.8,106.3,9.49,811,8.63,6.96
2022-06-01,1,2.75,20.8,106.3,9.48,811,8.63,7.14
2022-06-01,1,3,20.8,104.5,9.34,811,8.62,7.45
2022-06-01,1,3.25,20.7,102.4,9.11,811,8.59,8.73
2022-06-01,1,3.5,19.9,49.1,4.48,827,8.12,23.15
2022-06-01,2,0,21.1,175.6,15.61,760,8.82,7.23
2022-06-01,3,0,20.8,151.8,13.56,812,8.71,3.41
2022-06-01,3,0.5,20.7,153.9,13.88,820,8.66,9.36
2022-06-01,3,0.75,20.7,178.8,16.01,822,8.88,6.86
2022-06-01,4,0,21.7,156,14.01,797,8.82,5.18
2022-06-01,4,0.5,21.3,140.7,12.44,803,8.76,7.67
2022-06-01,4,0.75,21.3,145.3,12.84,792,8.8,10.84
2022-06-01,4,1,21,144,12.74,803,8.75,9.19
2022-06-01,4,1.25,20.9,134,11.96,804,8.73,10.06
2022-06-06,1,0,21.1,113.4,10.06,804,8.6,10.82
2022-06-06,1,0.5,21.1,113.5,10.07,804,8.6,10.69
2022-06-06,1,0.75,21.1,113.5,10.08,804,8.6,12.37
2022-06-06,1,1,21.1,113.3,10.07,804,8.59,12.51
2022-06-06,1,1.25,21,113,10.05,804,8.59,12.64
2022-06-06,1,1.5,21,112.5,10.02,804,8.59,13.07
2022-06-06,1,1.75,21,112.4,10.01,805,8.58,12.6
2022-06-06,1,2,20.9,111.9,9.97,805,8.58,12.26
2022-06-06,1,2.25,20.9,111.2,9.91,805,8.57,12.2
2022-06-06,1,2.5,20.9,110.7,9.86,805,8.5,11.55
2022-06-06,1,2.75,20.8,108.5,9.66,805,8.55,10.15
2022-06-06,1,3,20.1,66.2,5.82,834,7.98,8.19
2022-06-06,1,3.25,19.5,73.5,6.89,880,7.89,7.58
2022-06-06,2,0,21.1,176.8,15.7,748,8.9,8.83
2022-06-06,2,0.5,20.7,199.2,17.87,741,8.92,12.96
2022-06-06,3,0,20.1,142.8,12.84,797,8.3,12.87
2022-06-06,3,0.5,19.8,193.7,17.71,984,8.38,5.18
2022-06-06,4,0,21.3,162.1,14.35,772,8.81,9.58
2022-06-06,4,0.5,21.2,163.9,14.58,796,8.82,11.2
2022-06-06,4,0.75,21.1,243.9,20.9,748,9.04,6.18
2022-06-06,5,0,20.7,104,9.31,807,8.55,12.95
2022-06-06,5,0.5,20.6,103.8,9.3,807,8.55,12.03
2022-06-06,5,0.75,20.7,104.1,9.32,807,8.55,12.37
2022-06-06,5,1,20.7,103.2,9.32,807,8.54,12.35
2022-06-06,5,1.25,20.6,103.6,9.28,807,8.53,12.4
2022-06-06,5,1.5,20.6,103.5,9.27,807,8.52,12.48
2022-06-06,5,1.75,20.6,102.3,9.17,807,8.51,13.05
2022-06-06,5,2,20.6,101.2,9.07,807,8.5,13.71
2022-06-06,5,2.25,20.6,99.3,8.91,807,8.49,13.36
2022-06-06,5,2.5,20.5,96.5,8.66,806,8.47,12.58
2022-06-06,5,2.75,20.4,89.6,8.06,807,8.42,11.85
2022-06-06,5,3,20.4,76.3,6.88,810,8.33,10.44
2022-06-06,6,0,20.7,107.4,9.61,794,8.58,8.1
2022-06-06,6,0.5,20.7,108.2,9.67,794,8.57,8.25
2022-06-06,6,0.75,20.7,109.7,9.81,793,8.58,8.1
2022-06-06,6,1,20.7,110.9,9.96,791,8.58,8.09
2022-06-06,6,1.25,20.7,112.1,10.05,790,8.58,8.4
2022-06-06,6,1.5,20.6,114.4,10.26,785,8.58,7.85
2022-06-06,6,1.75,20.5,113.3,10.18,782,8.56,15.62
2022-06-06,7,0,20.8,130.7,11.67,791,8.68,9.09
2022-06-06,7,0.5,20.8,133.3,11.92,791,8.68,9.18
2022-06-06,7,0.75,20.8,134.2,11.98,790,8.68,9.15
2022-06-06,7,1,20.8,136,12.15,790,8.69,9.09
2022-06-06,7,1.25,20.5,147,13.2,782,8.74,6.96
2022-06-06,7,1.5,20.3,127.4,11.59,783,8.66,5.87
2022-06-06,8,0,21,124.1,11.07,776,8.68,4
2022-06-06,8,0.5,20.8,122.4,10.93,776,8.61,5.11
2022-06-09,1,0,20.3,97.7,8.8,800,8.47,7.14
2022-06-09,1,0.5,20.3,97.7,8.81,800,8.47,7.49
2022-06-09,1,0.75,20.3,97.9,8.83,800,8.47,7.68
2022-06-09,1,1,20.3,98.5,8.89,800,8.48,10.01
2022-06-09,1,1.25,20.2,99.2,8.96,800,8.49,11.92
2022-06-09,1,1.5,20.2,99.6,9.01,800,8.49,11.3
2022-06-09,1,1.75,20.2,99.8,9.03,800,8.5,12.05
2022-06-09,1,2,20.1,100,9.06,799,8.5,12.49
2022-06-09,1,2.25,20,100.1,9.08,797,8.5,12.39
2022-06-09,1,2.5,20,99.8,9.06,797,8.5,11.86
2022-06-09,1,2.75,20,99.6,9.04,796,8.5,12.6
2022-06-09,1,3,19.9,99.3,9.02,796,8.5,12.5
2022-06-09,1,3.25,19.9,96.3,8.77,794,8.48,13.36
2022-06-09,1,3.5,19.8,94.8,8.64,794,8.47,14.84
2022-06-09,2,0,19.3,129.7,11.92,737,8.7,3.42
2022-06-09,3,0,18.8,116.3,10.81,656,8.43,15.87
2022-06-09,3,0.5,18.1,114.2,10.82,699,8.38,13.91
2022-06-09,3,0.75,15.7,95.7,9.5,710,7.88,9.23
2022-06-09,3,1,15.4,99.6,9.96,734,7.88,7.87
2022-06-09,4,0,20.5,122.1,10.98,777,8.62,4.4
2022-06-09,4,0.5,20.4,121,10.91,777,8.61,5.34
2022-06-09,4,0.75,20.3,129.4,11.68,777,8.62,5.97
2022-06-09,4,1,19.9,171.5,15.75,766,8.9,3.35
2022-06-09,4,1.25,19.8,142.6,13.04,760,8.86,4.46
2022-06-09,5,0,20.7,96.4,8.63,801,8.47,5.75
2022-06-09,5,0.5,20.7,96.4,8.63,801,8.47,7.36
2022-06-09,5,0.75,20.7,96.3,8.63,801,8.47,8.08
2022-06-09,5,1,20.6,96,8.61,801,8.47,9.49
2022-06-09,5,1.25,20.6,96,8.61,801,8.47,11.15
2022-06-09,5,1.5,20.6,95.6,8.58,801,8.46,11.22
2022-06-09,5,1.75,20.5,95.2,8.55,801,8.46,10.89
2022-06-09,5,2,20.3,93.3,8.43,800,8.46,11.33
2022-06-09,5,2.25,20.1,86.2,7.82,800,8.43,12.01
2022-06-09,5,2.5,20,80.3,7.31,799,8.4,13.01
2022-06-09,6,0,20.4,102.9,9.26,790,8.53,4.37
2022-06-09,6,0.5,20.4,103.1,9.28,790,8.54,6.01
2022-06-09,6,0.75,20.4,104.8,9.44,788,8.54,5.65
2022-06-09,6,1,20.4,104.9,9.47,788,8.55,6.68
2022-06-09,6,1.25,20.1,122.7,11.11,776,8.67,5.44
2022-06-09,6,1.5,19.7,138.1,12.61,757,8.75,3.97
2022-06-09,6,1.75,19.6,117.6,10.76,760,8.66,2.91
2022-06-09,7,0,20.5,123.3,11.08,779,8.63,4.61
2022-06-09,7,0.5,20.5,123.7,11.11,779,8.62,4.6
2022-06-09,7,0.75,20.5,124.4,11.18,779,8.63,4.65
2022-06-09,7,1,20.5,125.2,11.25,779,8.63,5.53
2022-06-09,7,1.25,20.5,126.3,11.36,778,8.64,5.75
2022-06-09,7,1.5,20.5,130.2,11.7,777,8.65,5.66
2022-06-09,7,1.75,20.4,150.2,13.57,765,8.83,5.7
2022-06-09,7,2,19.1,152.5,14.1,751,8.81,4.25
2022-06-09,8,0,20.5,104.2,9.35,792,8.52,5.7
2022-06-09,8,0.5,20.3,108.2,9.73,791,8.56,7.31
2022-06-09,8,0.75,20.1,118.5,10.77,783,8.64,8.63
2022-06-09,8,1,19.5,147.2,13.49,771,8.73,7.81
2022-06-09,8,1.25,19.2,126.4,11.63,770,8.68,8.67
2022-06-09,8,1.5,19.2,101.4,9.5,777,8.44,7.44
2022-06-13,1,0,21.2,123.6,10.95,785,8.66,14.46
2022-06-13,1,0.5,21.2,124.7,11.06,785,8.66,15.77
2022-06-13,1,0.75,21.1,124.8,11.08,785,8.66,15.96
2022-06-13,1,1,21.1,124.9,11.08,785,8.66,15.52
2022-06-13,1,1.25,21,124.7,11.08,785,8.66,17.03
2022-06-13,1,1.5,21,124.4,11.06,785,8.66,16.88
2022-06-13,1,1.75,20.9,123.2,10.99,785,8.66,18.2
2022-06-13,1,2,20.8,122.3,10.9,785,8.65,18.38
2022-06-13,1,2.25,20.7,117.8,10.53,785,8.62,22.55
2022-06-13,1,2.5,20.5,104.2,9.32,788,8.49,18.56
2022-06-13,1,2.75,20.3,70.7,6.37,791,8.2,11.64
2022-06-13,1,3,20.2,58.8,5.3,789,8.07,10.15
2022-06-13,1,3.25,19.9,59,5.37,777,7.93,8.23
2022-06-13,2,0,21.4,238.1,21.16,715,9.09,3.12
2022-06-13,3,0,21.7,139,12.16,802,8.47,9.82
2022-06-13,3,0.5,21.5,127.6,11.23,811,8.37,12.78
2022-06-13,3,0.75,21.1,110,9.73,831,8.12,13.51
2022-06-13,3,1,20.8,92.8,8.3,838,7.96,9.69
2022-06-13,4,0,21.6,142.1,12.49,778,8.78,17.19
2022-06-13,4,0.5,21.6,143.2,12.58,778,8.78,16.68
2022-06-13,4,0.75,21.6,144,12.65,777,8.77,16.75
2022-06-13,4,1,21.6,144.8,12.72,777,8.78,19.73
2022-06-13,4,1.25,21.5,154.7,13.66,773,8.82,19.8
2022-06-13,4,1.5,21.1,166,14.75,768,8.88,17.99
2022-06-13,4,1.75,20.9,160.2,14.29,764,8.85,10.33
2022-06-13,5,0,20.8,117.6,10.51,781,8.63,6.2
2022-06-13,5,0.5,20.8,118.2,10.55,781,8.63,8.52
2022-06-13,5,0.75,20.8,118.4,10.58,781,8.63,9.23
2022-06-13,5,1,20.8,118.7,10.61,781,8.63,10.66
2022-06-13,5,1.25,20.8,118.9,10.64,781,8.64,11.75
2022-06-13,5,1.5,20.7,119.5,10.7,781,8.64,12.72
2022-06-13,5,1.75,20.7,119.7,10.71,781,8.64,13.04
2022-06-13,5,2,20.6,120.6,10.82,782,8.65,15.97
2022-06-13,5,2.25,20.5,118.1,10.61,784,8.63,18.67
2022-06-13,5,2.5,20.4,113.2,10.19,786,8.59,20.74
2022-06-13,6,0,20.7,150.4,13.47,731,8.91,1.73
2022-06-13,6,0.5,20.7,151.2,13.53,733,8.9,1.87
2022-06-13,6,0.75,20.7,147.4,13.2,744,8.8,3.62
2022-06-13,6,1,20.5,137.6,12.33,757,8.71,7.65
2022-06-13,6,1.25,20.5,130.3,11.7,762,8.66,11.26
2022-06-13,7,0,21.2,120.6,10.7,784,8.62,3.39
2022-06-13,7,0.5,21.1,122.4,10.86,785,8.62,4.26
2022-06-13,7,0.75,20.9,127.8,11.39,785,8.65,6.85
2022-06-13,7,1,20.7,129.7,11.6,782,8.67,7.02
2022-06-13,7,1.25,20.6,123.8,11.11,782,8.64,7.24
2022-06-13,7,1.5,20.6,125.5,11.25,781,8.65,7.65
2022-06-13,7,1.75,20.5,134,12.03,782,8.69,7.34
2022-06-13,8,0,20.4,127.2,11.44,763,8.7,5.24
2022-06-13,8,0.5,20.4,125.5,11.3,763,8.69,5.39
2022-06-16,1,0,23.7,116.2,9.81,773,8.67,6.27
2022-06-16,1,0.5,23.7,116.5,9.84,773,8.67,8.28
2022-06-16,1,0.75,23.7,116.2,9.81,773,8.66,8.66
